rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0133.jpg,53.2,0.8244,0.8487,0.6667,1.0,11,4,False,True
2,frame_0132.jpg,52.8,0.7634,0.7268,0.6667,1.0,9,4,False,False
3,frame_0032.jpg,12.8,0.7235,0.647,0.6667,1.0,10,4,False,True
4,frame_0076.jpg,30.4,0.7055,0.843,0.3333,0.92,10,2,False,True
5,frame_0030.jpg,12.0,0.6927,0.6854,0.5,1.0,8,3,False,False
6,frame_0373.jpg,149.2,0.6735,0.683,1.0,0.16,14,6,False,True
7,frame_0126.jpg,50.4,0.6507,0.5973,0.6667,0.76,9,4,False,True
8,frame_0012.jpg,4.8,0.6447,0.5894,0.5,1.0,5,3,False,True
9,frame_0307.jpg,122.8,0.6434,0.7068,0.8333,0.2,9,5,False,True
10,frame_0199.jpg,79.6,0.6313,0.9706,0.1667,0.48,1,1,False,True
11,frame_0186.jpg,74.4,0.6287,0.7414,0.8333,0.04,10,5,False,True
12,frame_0080.jpg,32.0,0.6279,0.6517,0.5,0.76,6,3,False,False
13,frame_0002.jpg,0.8,0.6266,0.6533,0.3333,1.0,8,2,False,True
14,frame_0021.jpg,8.4,0.6226,0.5452,0.5,1.0,7,3,False,True
15,frame_0015.jpg,6.0,0.6201,0.6402,0.3333,1.0,4,2,False,False
16,frame_0374.jpg,149.6,0.6192,0.6584,0.8333,0.2,14,5,False,False
17,frame_0074.jpg,29.6,0.6162,0.7323,0.1667,1.0,8,1,False,False
18,frame_0018.jpg,7.2,0.6053,0.5105,0.5,1.0,6,3,False,False
19,frame_0007.jpg,2.8,0.6022,0.5045,0.5,1.0,5,3,False,False
20,frame_0329.jpg,131.6,0.5986,0.6653,0.8333,0.08,12,5,False,True
21,frame_0290.jpg,116.0,0.5908,0.7615,0.1667,0.8,8,1,False,False
22,frame_0230.jpg,92.0,0.589,0.73,0.6667,0.12,11,4,False,False
23,frame_0315.jpg,126.0,0.5887,0.7293,0.6667,0.12,14,4,False,False
24,frame_0394.jpg,157.6,0.5881,0.6443,0.8333,0.08,7,5,False,False
25,frame_0286.jpg,114.4,0.5852,0.5144,0.6667,0.64,8,4,False,False
26,frame_0372.jpg,148.8,0.5839,0.7198,0.6667,0.12,11,4,False,False
27,frame_0381.jpg,152.4,0.5826,0.7492,0.6667,0.04,12,4,False,False
28,frame_0207.jpg,82.8,0.5802,0.5403,0.5,0.8,4,3,False,False
29,frame_0172.jpg,68.8,0.5736,0.6871,0.5,0.4,8,3,False,False
30,frame_0033.jpg,13.2,0.5698,0.5397,0.3333,1.0,9,2,False,False
31,frame_0300.jpg,120.0,0.5696,0.5472,0.6667,0.48,8,4,False,False
32,frame_0319.jpg,127.6,0.5688,0.5257,0.8333,0.28,12,5,False,False
33,frame_0185.jpg,74.0,0.5684,0.7047,0.6667,0.08,8,4,False,False
34,frame_0328.jpg,131.2,0.5668,0.6016,0.8333,0.08,15,5,False,False
35,frame_0006.jpg,2.4,0.5652,0.5304,0.3333,1.0,5,2,False,False
36,frame_0303.jpg,121.2,0.5645,0.5849,0.6667,0.36,8,4,False,False
37,frame_0016.jpg,6.4,0.5642,0.5285,0.3333,1.0,8,2,False,False
38,frame_0386.jpg,154.4,0.56,0.724,0.5,0.24,10,3,False,False
39,frame_0377.jpg,150.8,0.5557,0.6634,0.6667,0.12,14,4,False,False
40,frame_0320.jpg,128.0,0.5544,0.6127,0.6667,0.24,11,4,False,False
41,frame_0382.jpg,152.8,0.5539,0.6758,0.6667,0.08,9,4,False,False
42,frame_0299.jpg,119.6,0.5538,0.5996,0.5,0.52,7,3,False,False
43,frame_0296.jpg,118.4,0.5525,0.649,0.3333,0.64,8,2,False,False
44,frame_0385.jpg,154.0,0.5513,0.6226,0.6667,0.2,13,4,False,False
45,frame_0180.jpg,72.0,0.5483,0.7646,0.5,0.08,7,3,False,False
46,frame_0003.jpg,1.2,0.5478,0.5956,0.1667,1.0,8,1,False,False
47,frame_0267.jpg,106.8,0.5455,0.643,0.6667,0.12,5,4,False,False
48,frame_0075.jpg,30.0,0.5453,0.5067,0.3333,0.96,8,2,False,False
49,frame_0031.jpg,12.4,0.5414,0.4828,0.3333,1.0,9,2,False,False
50,frame_0167.jpg,66.8,0.5404,0.5409,0.5,0.6,6,3,False,False
51,frame_0081.jpg,32.4,0.5378,0.5876,0.3333,0.72,4,2,False,False
52,frame_0287.jpg,114.8,0.5378,0.6037,0.3333,0.68,7,2,False,False
53,frame_0067.jpg,26.8,0.5371,0.4742,0.3333,1.0,8,2,False,False
54,frame_0113.jpg,45.2,0.5348,0.6736,0.5,0.24,6,3,False,False
55,frame_0077.jpg,30.8,0.533,0.714,0.0,0.88,10,0,False,False
56,frame_0188.jpg,75.2,0.5299,0.7438,0.5,0.04,9,3,False,False
57,frame_0068.jpg,27.2,0.5289,0.3577,0.5,1.0,8,3,False,False
58,frame_0387.jpg,154.8,0.5286,0.5771,0.6667,0.2,11,4,False,False
59,frame_0124.jpg,49.6,0.5273,0.5826,0.3333,0.68,10,2,False,False
60,frame_0014.jpg,5.6,0.5269,0.4539,0.3333,1.0,4,2,False,False
61,frame_0078.jpg,31.2,0.5197,0.5034,0.3333,0.84,6,2,False,False
62,frame_0388.jpg,155.2,0.5191,0.6741,0.5,0.16,13,3,False,False
63,frame_0310.jpg,124.0,0.5185,0.7051,0.5,0.08,8,3,False,False
64,frame_0087.jpg,34.8,0.5153,0.5386,0.5,0.48,4,3,False,False
65,frame_0297.jpg,118.8,0.5125,0.4851,0.5,0.6,8,3,False,False
66,frame_0079.jpg,31.6,0.5086,0.5971,0.1667,0.8,6,1,False,False
67,frame_0004.jpg,1.6,0.5067,0.3133,0.5,1.0,11,3,False,False
68,frame_0301.jpg,120.4,0.5032,0.6304,0.3333,0.44,8,2,False,False
69,frame_0001.jpg,0.4,0.5025,0.405,0.3333,1.0,8,2,False,False
70,frame_0028.jpg,11.2,0.4995,0.3991,0.3333,1.0,6,2,False,False
71,frame_0229.jpg,91.6,0.4973,0.5625,0.6667,0.08,10,4,False,False
72,frame_0179.jpg,71.6,0.4955,0.643,0.5,0.12,10,3,False,False
73,frame_0071.jpg,28.4,0.4948,0.3897,0.3333,1.0,10,2,False,False
74,frame_0368.jpg,147.2,0.4922,0.7684,0.3333,0.04,11,2,False,False
75,frame_0119.jpg,47.6,0.4889,0.4859,0.5,0.48,6,3,False,False
76,frame_0181.jpg,72.4,0.4861,0.5562,0.6667,0.04,7,4,False,False
77,frame_0333.jpg,133.2,0.4854,0.7389,0.3333,0.08,12,2,False,False
78,frame_0391.jpg,156.4,0.4843,0.5526,0.6667,0.04,12,4,False,False
79,frame_0000.jpg,0.0,0.4836,0.4672,0.1667,1.0,8,1,False,False
80,frame_0282.jpg,112.8,0.4816,0.4711,0.5,0.48,7,3,False,False
81,frame_0017.jpg,6.8,0.4808,0.3617,0.3333,1.0,6,2,False,False
82,frame_0285.jpg,114.0,0.4806,0.5212,0.3333,0.6,7,2,False,False
83,frame_0109.jpg,43.6,0.4804,0.6288,0.5,0.08,10,3,False,False
84,frame_0203.jpg,81.2,0.48,0.604,0.1667,0.64,4,1,False,False
85,frame_0292.jpg,116.8,0.4795,0.4391,0.3333,0.8,9,2,False,False
86,frame_0233.jpg,93.2,0.4788,0.4616,0.6667,0.24,7,4,False,False
87,frame_0396.jpg,158.4,0.4777,0.5913,0.5,0.16,10,3,False,False
88,frame_0273.jpg,109.2,0.4776,0.5071,0.6667,0.12,8,4,False,False
89,frame_0323.jpg,129.2,0.4764,0.6048,0.5,0.12,10,3,False,False
90,frame_0026.jpg,10.4,0.4757,0.3514,0.3333,1.0,6,2,False,False
91,frame_0293.jpg,117.2,0.4755,0.447,0.3333,0.76,6,2,False,False
92,frame_0302.jpg,120.8,0.4743,0.5887,0.3333,0.4,8,2,False,False
93,frame_0223.jpg,89.2,0.471,0.6781,0.3333,0.16,8,2,False,False
94,frame_0193.jpg,77.2,0.4702,0.6444,0.3333,0.24,8,2,False,False
95,frame_0011.jpg,4.4,0.4695,0.439,0.1667,1.0,5,1,False,False
96,frame_0089.jpg,35.6,0.4695,0.779,0.0,0.4,9,0,False,False
97,frame_0009.jpg,3.6,0.4682,0.5363,0.0,1.0,2,0,False,False
98,frame_0114.jpg,45.6,0.4682,0.7244,0.1667,0.28,8,1,False,False
99,frame_0070.jpg,28.0,0.4679,0.4357,0.1667,1.0,9,1,False,False
100,frame_0116.jpg,46.4,0.4639,0.5838,0.3333,0.36,7,2,False,False
101,frame_0213.jpg,85.2,0.4633,0.4025,0.5,0.56,5,3,False,False
102,frame_0289.jpg,115.6,0.4627,0.3215,0.5,0.76,7,3,False,False
103,frame_0190.jpg,76.0,0.4621,0.4762,0.6667,0.12,6,4,False,False
104,frame_0127.jpg,50.8,0.462,0.5039,0.1667,0.8,8,1,False,False
105,frame_0020.jpg,8.0,0.4605,0.4209,0.1667,1.0,3,1,False,False
106,frame_0073.jpg,29.2,0.4588,0.5176,0.0,1.0,8,0,False,False
107,frame_0178.jpg,71.2,0.4554,0.5467,0.5,0.16,8,3,False,False
108,frame_0399.jpg,159.6,0.4547,0.5974,0.3333,0.28,10,2,False,False
109,frame_0384.jpg,153.6,0.4544,0.6448,0.3333,0.16,11,2,False,False
110,frame_0308.jpg,123.2,0.4532,0.7424,0.1667,0.16,8,1,False,False
111,frame_0275.jpg,110.0,0.4514,0.6228,0.3333,0.2,12,2,False,False
112,frame_0284.jpg,113.6,0.449,0.474,0.3333,0.56,7,2,False,False
113,frame_0317.jpg,126.8,0.4489,0.6179,0.3333,0.2,10,2,False,False
114,frame_0397.jpg,158.8,0.4488,0.6176,0.3333,0.2,11,2,False,False
115,frame_0390.jpg,156.0,0.4482,0.6644,0.3333,0.08,9,2,False,False
116,frame_0321.jpg,128.4,0.4474,0.5147,0.5,0.2,9,3,False,False
117,frame_0013.jpg,5.2,0.4473,0.3946,0.1667,1.0,4,1,False,False
118,frame_0221.jpg,88.4,0.4447,0.5934,0.3333,0.24,7,2,False,False
119,frame_0131.jpg,52.4,0.4395,0.395,0.1667,0.96,8,1,False,False
120,frame_0378.jpg,151.2,0.4392,0.6465,0.3333,0.08,14,2,False,False
121,frame_0173.jpg,69.2,0.4385,0.533,0.3333,0.36,9,2,False,False
122,frame_0288.jpg,115.2,0.4378,0.4876,0.1667,0.72,10,1,False,False
123,frame_0211.jpg,84.4,0.4377,0.5194,0.1667,0.64,4,1,False,False
124,frame_0219.jpg,87.6,0.4358,0.4436,0.5,0.32,4,3,False,False
125,frame_0322.jpg,128.8,0.4352,0.6064,0.3333,0.16,8,2,False,False
126,frame_0022.jpg,8.8,0.4351,0.3701,0.1667,1.0,5,1,False,False
127,frame_0205.jpg,82.0,0.4322,0.4764,0.1667,0.72,2,1,False,False
128,frame_0115.jpg,46.0,0.43,0.532,0.3333,0.32,8,2,False,False
129,frame_0291.jpg,116.4,0.428,0.52,0.0,0.84,7,0,False,False
130,frame_0316.jpg,126.4,0.427,0.4899,0.5,0.16,12,3,False,False
131,frame_0098.jpg,39.2,0.4216,0.5272,0.5,0.04,8,3,False,False
132,frame_0027.jpg,10.8,0.4205,0.341,0.1667,1.0,7,1,False,False
133,frame_0082.jpg,32.8,0.4184,0.3648,0.3333,0.68,6,2,False,False
134,frame_0125.jpg,50.0,0.418,0.4479,0.1667,0.72,10,1,False,False
135,frame_0088.jpg,35.2,0.4168,0.4577,0.3333,0.44,8,2,False,False
136,frame_0276.jpg,110.4,0.4161,0.4362,0.5,0.24,13,3,False,False
137,frame_0228.jpg,91.2,0.4111,0.5062,0.5,0.04,9,3,False,False
138,frame_0086.jpg,34.4,0.4098,0.5115,0.1667,0.52,6,1,False,False
139,frame_0274.jpg,109.6,0.4097,0.5554,0.3333,0.16,10,2,False,False
140,frame_0072.jpg,28.8,0.4075,0.3149,0.1667,1.0,8,1,False,False
141,frame_0171.jpg,68.4,0.407,0.4381,0.3333,0.44,8,2,False,False
142,frame_0106.jpg,42.4,0.4046,0.5932,0.3333,0.04,9,2,False,False
143,frame_0318.jpg,127.2,0.3995,0.6029,0.1667,0.24,9,1,False,False
144,frame_0278.jpg,111.2,0.3991,0.6702,0.0,0.32,8,0,False,False
145,frame_0332.jpg,132.8,0.3951,0.5742,0.3333,0.04,11,2,False,False
146,frame_0200.jpg,80.0,0.3949,0.4817,0.1667,0.52,2,1,False,False
147,frame_0272.jpg,108.8,0.3942,0.5565,0.3333,0.08,8,2,False,False
148,frame_0379.jpg,151.6,0.3942,0.5725,0.3333,0.04,11,2,False,False
149,frame_0327.jpg,130.8,0.3939,0.4717,0.5,0.04,12,3,False,False
150,frame_0309.jpg,123.6,0.3911,0.4343,0.5,0.12,8,3,False,False
151,frame_0176.jpg,70.4,0.3909,0.5858,0.1667,0.24,8,1,False,False
152,frame_0194.jpg,77.6,0.3902,0.4684,0.3333,0.28,6,2,False,False
153,frame_0029.jpg,11.6,0.3891,0.2781,0.1667,1.0,6,1,False,False
154,frame_0008.jpg,3.2,0.3881,0.3762,0.0,1.0,3,0,False,False
155,frame_0268.jpg,107.2,0.3874,0.5428,0.3333,0.08,6,2,False,False
156,frame_0298.jpg,119.2,0.387,0.45,0.1667,0.56,6,1,False,False
157,frame_0371.jpg,148.4,0.3834,0.5348,0.3333,0.08,9,2,False,False
158,frame_0085.jpg,34.0,0.3832,0.3424,0.3333,0.56,5,2,False,False
159,frame_0277.jpg,110.8,0.3831,0.5542,0.1667,0.28,9,1,False,False
160,frame_0105.jpg,42.0,0.3819,0.5318,0.3333,0.08,9,2,False,False
161,frame_0174.jpg,69.6,0.3819,0.4358,0.3333,0.32,10,2,False,False
162,frame_0232.jpg,92.8,0.3811,0.5822,0.1667,0.2,9,1,False,False
163,frame_0214.jpg,85.6,0.3796,0.5511,0.0,0.52,2,0,False,False
164,frame_0330.jpg,132.0,0.3795,0.7431,0.0,0.04,11,0,False,False
165,frame_0019.jpg,7.6,0.3777,0.3553,0.0,1.0,3,0,False,False
166,frame_0168.jpg,67.2,0.3749,0.4257,0.1667,0.56,6,1,False,False
167,frame_0215.jpg,86.0,0.3746,0.4571,0.1667,0.48,3,1,False,False
168,frame_0069.jpg,27.6,0.3738,0.3476,0.0,1.0,7,0,False,False
169,frame_0170.jpg,68.0,0.3734,0.3549,0.3333,0.48,10,2,False,False
170,frame_0280.jpg,112.0,0.3719,0.5837,0.0,0.4,8,0,False,False
171,frame_0324.jpg,129.6,0.3695,0.5071,0.3333,0.08,10,2,False,False
172,frame_0376.jpg,150.4,0.3691,0.3742,0.5,0.16,9,3,False,False
173,frame_0222.jpg,88.8,0.3678,0.5556,0.1667,0.2,8,1,False,False
